case_id,case_name,tau,n,method,mean,range
3,Case 3: TVCQR (i.i.d. design),0.2,200,screen-seq(2)(ft),0.024,0.011
3,Case 3: TVCQR (i.i.d. design),0.2,500,screen-seq(2)(ft),0.28,0.11
3,Case 3: TVCQR (i.i.d. design),0.2,1000,screen-seq(2)(ft),2.1,0.88
3,Case 3: TVCQR (i.i.d. design),0.2,2000,screen-seq(2)(ft),16.3,7.4
3,Case 3: TVCQR (i.i.d. design),0.2,5000,screen-seq(2)(ft),277.1,102.1
3,Case 3: TVCQR (i.i.d. design),0.5,200,rq,0.25,0.039
3,Case 3: TVCQR (i.i.d. design),0.5,500,rq,1.0,0.41
3,Case 3: TVCQR (i.i.d. design),0.5,1000,rq,2.9,0.62
3,Case 3: TVCQR (i.i.d. design),0.5,2000,rq,9.9,3.6
3,Case 3: TVCQR (i.i.d. design),0.5,5000,rq,64.9,36.3
3,Case 3: TVCQR (i.i.d. design),0.5,200,seq,0.090,0.046
3,Case 3: TVCQR (i.i.d. design),0.5,500,seq,0.28,0.100
3,Case 3: TVCQR (i.i.d. design),0.5,1000,seq,0.90,0.41
3,Case 3: TVCQR (i.i.d. design),0.5,2000,seq,3.5,2.0
3,Case 3: TVCQR (i.i.d. design),0.5,5000,seq,16.4,11.4
3,Case 3: TVCQR (i.i.d. design),0.5,200,seq(ft),0.0034,0.0017
3,Case 3: TVCQR (i.i.d. design),0.5,500,seq(ft),0.017,0.011
3,Case 3: TVCQR (i.i.d. design),0.5,1000,seq(ft),0.070,0.018
3,Case 3: TVCQR (i.i.d. design),0.5,2000,seq(ft),0.79,0.59
3,Case 3: TVCQR (i.i.d. design),0.5,5000,seq(ft),3.0,7.9
3,Case 3: TVCQR (i.i.d. design),0.5,200,screen-seq(1),0.17,0.050
3,Case 3: TVCQR (i.i.d. design),0.5,500,screen-seq(1),0.60,0.38
3,Case 3: TVCQR (i.i.d. design),0.5,1000,screen-seq(1),2.6,1.9
3,Case 3: TVCQR (i.i.d. design),0.5,2000,screen-seq(1),14.1,14.5
3,Case 3: TVCQR (i.i.d. design),0.5,5000,screen-seq(1),317.3,1282.4
3,Case 3: TVCQR (i.i.d. design),0.5,200,screen-seq(2),0.18,0.10
3,Case 3: TVCQR (i.i.d. design),0.5,500,screen-seq(2),0.51,0.30
3,Case 3: TVCQR (i.i.d. design),0.5,1000,screen-seq(2),1.4,1.0
3,Case 3: TVCQR (i.i.d. design),0.5,2000,screen-seq(2),4.2,3.4
3,Case 3: TVCQR (i.i.d. design),0.5,5000,screen-seq(2),22.3,22.1
3,Case 3: TVCQR (i.i.d. design),0.5,200,screen-seq(1)(ft),0.023,0.011
3,Case 3: TVCQR (i.i.d. design),0.5,500,screen-seq(1)(ft),0.28,0.098
3,Case 3: TVCQR (i.i.d. design),0.5,1000,screen-seq(1)(ft),2.1,0.72
3,Case 3: TVCQR (i.i.d. design),0.5,2000,screen-seq(1)(ft),16.3,6.3
3,Case 3: TVCQR (i.i.d. design),0.5,5000,screen-seq(1)(ft),277.0,106.4
3,Case 3: TVCQR (i.i.d. design),0.5,200,screen-seq(2)(ft),0.023,0.012
3,Case 3: TVCQR (i.i.d. design),0.5,500,screen-seq(2)(ft),0.28,0.099
