"case","n","replication","total_iterations_direct","total_iterations_mst","reduction"
1,800,86,423801,123889,0.70767176103879
1,800,87,450499,122092,0.728984969999933
1,800,88,474613,124461,0.737763188113263
1,800,89,424757,127458,0.699927252523207
1,800,9,455828,120605,0.735415551479944
1,800,90,430153,124186,0.711298073011231
1,800,91,448846,122142,0.727875485132986
1,800,92,441586,130196,0.705162754253984
1,800,93,456232,128305,0.71877246663978
1,800,94,448400,128040,0.714451382694023
1,800,95,428336,119974,0.71990680213664
1,800,96,432626,124213,0.712885956923532
1,800,97,448011,120918,0.730100376999672
1,800,98,455956,123753,0.728585653001605
1,800,99,434760,123851,0.715127886650106
2,300,1,51367,15699,0.694375766542722
2,300,10,50125,16658,0.667670822942643
2,300,100,50852,15157,0.701938960119563
2,300,11,46967,16385,0.651138033087061
2,300,12,53992,14919,0.723681286116462
2,300,13,49122,15414,0.686209844876023
2,300,14,51923,15883,0.69410473200701
2,300,15,45203,14722,0.674313651748778
2,300,16,50459,15956,0.683782873223805
2,300,17,48435,17525,0.63817487354186
2,300,18,44972,14829,0.670261496041982
2,300,19,42562,14326,0.663408674404398
2,300,2,46958,15184,0.676647216661698
2,300,20,49276,14457,0.706611737965744
2,300,21,48598,15617,0.678649327132804
2,300,22,51855,15964,0.692141548548838
2,300,23,48915,16145,0.669937646938567
2,300,24,47198,16518,0.65002754353998
2,300,25,47187,15588,0.66965477779897
2,300,26,52524,16224,0.691112634224355
2,300,27,53850,16269,0.697883008356546
2,300,28,48385,14611,0.698026247804072
2,300,29,45453,14930,0.671528831980287
2,300,3,51504,15637,0.696392513202858
2,300,30,41907,13458,0.678860333595819
2,300,31,47165,14740,0.687480122972543
2,300,32,47305,16360,0.65415917979072
2,300,33,47414,15149,0.680495212384528
2,300,34,49582,16397,0.669295308781413
2,300,35,54309,15450,0.715516765177042
2,300,36,50491,16775,0.667762571547404
2,300,37,45334,15507,0.657938853840385
2,300,38,48545,16030,0.669790915645278
2,300,39,48981,15485,0.68385700577775
2,300,4,46368,15457,0.666645100069013
2,300,40,52735,17397,0.670105243197118
2,300,41,44905,14603,0.674802360538916
2,300,42,46585,14764,0.683073950842546
2,300,43,50349,16930,0.663747045621562
2,300,44,47088,14927,0.682997791369351
2,300,45,50316,15430,0.693338103187853
2,300,46,48970,13987,0.714376148662446
2,300,47,47126,16204,0.656155837541909
2,300,48,52957,15716,0.703230923201843
2,300,49,45985,14003,0.695487659019245
2,300,5,50712,15794,0.68855497712573
2,300,50,49779,14300,0.712730267783604
2,300,51,45335,15034,0.668379838976508
2,300,52,45583,14470,0.682557093653336
2,300,53,46870,15450,0.670364838916151
2,300,54,42085,12509,0.702768207199715
2,300,55,47412,15566,0.671686492871003
2,300,56,48595,16127,0.668134581747093
2,300,57,50111,16579,0.669154477060925
2,300,58,48781,14568,0.701359135729075
2,300,59,45625,15598,0.65812602739726
2,300,6,51363,16286,0.682923505246968
2,300,60,46216,14622,0.683616063700883
2,300,61,46811,15697,0.66467283330841
2,300,62,49244,12759,0.740902444967915
2,300,63,49056,16232,0.6691128506197
2,300,64,45301,13858,0.694090638175758
2,300,65,48788,15311,0.686172829384275
2,300,66,49474,15575,0.685188179649917
2,300,67,51700,15979,0.690928433268859
2,300,68,48840,14466,0.703808353808354
2,300,69,44565,15213,0.658633456748569
2,300,7,50253,15256,0.696416134360138
2,300,70,48516,15113,0.688494517272652
2,300,71,50502,15368,0.695695219991287
2,300,72,51636,16265,0.685006584553412
2,300,73,47793,14663,0.693197748624276
2,300,74,48711,13617,0.720453285705488
2,300,75,49892,16466,0.669967128998637
2,300,76,49886,17346,0.652287214849858
2,300,77,53689,15306,0.714913669466744
2,300,78,46883,15408,0.671352089243436
2,300,79,49031,16353,0.666476310905346
2,300,8,44426,14465,0.674402376986449
2,300,80,53608,16650,0.689412028055514
2,300,81,50028,15961,0.680958663148637
2,300,82,48532,15165,0.687525756202093
2,300,83,44527,14680,0.670312394726795
2,300,84,44658,16353,0.633817009270455
2,300,85,52652,15561,0.704455671199575
2,300,86,47466,15207,0.679623309316142
2,300,87,47930,15602,0.674483621948675
2,300,88,52818,16747,0.682930061721383
2,300,89,48413,13454,0.722099436101873
2,300,9,47537,15867,0.666217893430381
2,300,90,47631,14892,0.687346476034515
2,300,91,53259,15776,0.703787153344975
2,300,92,45154,14669,0.675133985914869
2,300,93,46810,15501,0.668852809228797
2,300,94,45952,14543,0.68351758356546
2,300,95,51952,15796,0.695950107791808
2,300,96,49944,15326,0.693136312670191
2,300,97,50064,16277,0.674876158517098
2,300,98,48748,15739,0.677135472224502
2,300,99,47319,13308,0.718759906168769
2,500,1,130933,34775,0.73440614665516
2,500,10,131430,38876,0.704207562961272
2,500,100,124798,40013,0.679377874645427
2,500,11,137800,37799,0.725696661828737
2,500,12,132655,39392,0.703049263126154
2,500,13,134285,37986,0.717124027255464
2,500,14,123431,35619,0.711425816853141
2,500,15,144479,36010,0.750759625966403
2,500,16,128391,34833,0.728695936631072
2,500,17,126386,39837,0.684798949250708
2,500,18,133737,39152,0.707246311791053
