"case","n","p","replication","seed","h_summary","mst_max_abs_diff","mst_mean_edge_weight","mst_max_edge_weight"
1,500,4,84,20860529,"0.6111,0.6481,0.6486,0.6373",1.73638881051374e-13,0.959628953529918,3.30076811779766
1,500,4,85,20860530,"0.6307,0.6361,0.6677,0.6116",7.8159700933611e-14,0.948070385547823,3.98206816656558
1,500,4,86,20860531,"0.6246,0.6279,0.6442,0.6102",8.17124146124115e-14,0.957287503096254,3.67217076885154
1,500,4,87,20860532,"0.6244,0.6209,0.5988,0.6186",1.03028696685215e-13,0.965115220464951,3.30331487143276
1,500,4,88,20860533,"0.6324,0.6087,0.6444,0.6268",1.79412040779425e-13,0.957242963618241,2.85550201104322
1,500,4,89,20860534,"0.6296,0.6356,0.6188,0.6289",1.49213974509621e-13,0.956656449210692,3.01465569247114
1,500,4,90,20860535,"0.623,0.6389,0.6285,0.6304",3.00204305858642e-13,0.973448466752525,2.70352069717144
1,500,4,91,20860536,"0.6674,0.6334,0.6402,0.6013",2.30926389122033e-13,0.955169560189127,3.83795062730583
1,500,4,92,20860537,"0.6257,0.6188,0.6168,0.6719",1.66977542903624e-13,0.951825854302689,3.88354186648092
1,500,4,93,20860538,"0.6256,0.6291,0.6381,0.6074",9.45910016980633e-14,0.948405462613032,3.27173823694024
1,500,4,94,20860539,"0.6169,0.628,0.6039,0.6392",9.57012247226885e-14,0.955381583632969,3.92489655775953
1,500,4,95,20860540,"0.6202,0.6582,0.5928,0.666",3.48165940522449e-13,0.964818542375352,3.46525972144764
1,500,4,96,20860541,"0.6346,0.6318,0.6194,0.6199",2.06057393370429e-13,0.962987228042228,3.48926900586657
1,500,4,97,20860542,"0.6409,0.6449,0.6462,0.6473",1.87849735766576e-13,0.941122191698323,2.56297737198654
1,500,4,98,20860543,"0.6055,0.66,0.6376,0.6024",2.1405099914773e-13,0.946249470206643,2.89779219282985
1,500,4,99,20860544,"0.6638,0.626,0.6525,0.619",2.21600515715181e-13,0.950145589536796,3.16102448351089
1,500,4,100,20860545,"0.6209,0.6366,0.6391,0.6309",1.06581410364015e-13,0.946530446842314,2.92092659733062
1,800,4,1,21160446,"0.5909,0.6094,0.5804,0.592",2.95319324550292e-13,0.886181559085572,2.72112760647068
1,800,4,2,21160447,"0.5742,0.6136,0.6173,0.5794",2.16715534406831e-13,0.894421464486523,3.62080461308805
1,800,4,3,21160448,"0.6053,0.6058,0.6218,0.6076",1.49213974509621e-13,0.905842437727061,2.95861821795084
1,800,4,4,21160449,"0.5934,0.569,0.6067,0.5967",5.304645611659e-13,0.910319466204071,3.39513737111871
1,800,4,5,21160450,"0.6013,0.5937,0.6062,0.5708",2.41140440948584e-13,0.911683983970776,3.72831150461461
1,800,4,6,21160451,"0.6219,0.5715,0.597,0.6115",1.86517468137026e-13,0.896410037155899,2.71611712181227
1,800,4,7,21160452,"0.6011,0.5947,0.6043,0.6073",6.23057161419638e-13,0.908016587974843,3.81226954228576
1,800,4,8,21160453,"0.5918,0.5985,0.566,0.6073",3.06865644006393e-13,0.913058413427626,4.00018324253077
1,800,4,9,21160454,"0.5897,0.6245,0.5834,0.6074",3.1818991885757e-13,0.917227949220678,3.30512055277695
1,800,4,10,21160455,"0.6075,0.6199,0.6157,0.5649",1.82076576038526e-13,0.90265025332713,2.95097323490764
1,800,4,11,21160456,"0.6016,0.5784,0.5984,0.5828",3.01536573488193e-13,0.899495551999387,2.87643101173195
1,800,4,12,21160457,"0.5803,0.592,0.5843,0.5899",2.71782596428238e-13,0.905596098352466,2.92663122044936
1,800,4,13,21160458,"0.5882,0.595,0.5833,0.6145",2.8244073746464e-13,0.90668641339446,2.87828492988312
1,800,4,14,21160459,"0.5904,0.5744,0.6037,0.585",7.39908134761436e-13,0.913756571399695,2.9714695888575
1,800,4,15,21160460,"0.5921,0.5748,0.5969,0.5864",2.46025422256935e-13,0.904877162515007,3.53078702129209
1,800,4,16,21160461,"0.5929,0.579,0.5924,0.5846",1.51212375953946e-13,0.909588099824579,3.08465961568464
1,800,4,17,21160462,"0.581,0.6051,0.594,0.5868",2.50022225145585e-12,0.911306715188016,4.6704908719339
1,800,4,18,21160463,"0.5768,0.588,0.5895,0.5873",3.521627434111e-13,0.914362553252165,2.79252115125359
1,800,4,19,21160464,"0.5948,0.5955,0.5808,0.6213",3.37063710276198e-13,0.900080428632015,3.4006763683119
1,800,4,20,21160465,"0.6178,0.597,0.6223,0.5929",2.07833750209829e-13,0.906255334269803,5.58033495515645
1,800,4,21,21160466,"0.5991,0.5642,0.5946,0.5904",5.40900657597376e-13,0.9103927381994,3.24956728392051
1,800,4,22,21160467,"0.5786,0.606,0.5933,0.6067",2.24154028671819e-13,0.911419761120061,3.07146020835728
1,800,4,23,21160468,"0.5785,0.6113,0.6141,0.6075",2.8599345114344e-13,0.898071292245791,3.68974093693605
1,800,4,24,21160469,"0.5763,0.5627,0.5859,0.5711",1.82964754458226e-13,0.92358379845874,3.31336013033894
