"model","case","paper_case","tau","n","num_rep","seed_base","method","n_present","n_solver_ok","n_accepted","n_nonfinite","ierr_nonzero","failed_eval_nonzero","h_mismatch_count","fallback_count","retained_decomposition_failures","repair_total","repaired_points_total","internal_recovery_total","certificate_hits","residual_rows_checked","threshold_expansion_total","threshold_expansion_replications","first_retained_size_mean_of_max","first_retained_size_max","time_mean_sec","time_median_sec","time_min_sec","time_max_sec","max_average_relative_discrepancy","solver_stable","path_accepted","timing_order_balanced","discrepancy_valid","retained_decomposition_ok"
"llqr",2,2,0.8,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.63906,1.6205,1.556,1.809,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.012238,0.012,0.00999999999999979,0.021,2.23607262555937e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,5588,4890,1,446829,25995903,0,0,16.754,24,0.008718,0.00899999999999995,0.00799999999999956,0.0110000000000001,4.03050142785016e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,2.573438,2.559,2.454,2.852,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.048446,0.048,0.0409999999999999,0.065,8.30380551233841e-15,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,3031,2822,0,915383,70606943,0,0,22.23,35,0.026944,0.027,0.0249999999999999,0.0339999999999998,3.60308904527576e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,9.93644,9.942,9.512,10.645,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.33893,0.337,0.287000000000001,0.416,2.74628503983001e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,914,898,0,2345013,267538383,0,0,33.036,44,0.144426,0.143,0.138,0.159000000000001,4.41190401894238e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,38.752714,38.726,37.823,39.912,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,1.52895,1.521,1.288,1.861,1.29533533975687e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,249,247,0,4757734,731736791,0,0,44.512,60,0.581034,0.58,0.566000000000003,0.621,4.31012196887525e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,3.991832,3.961,3.811,4.568,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.031332,0.031,0.0279999999999996,0.051,5.25201532716926e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,214332,115752,5894,284003,135348135,0,0,16.536,22,0.023028,0.023,0.0199999999999996,0.029,5.43962318667951e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,11.444416,11.434,10.833,12.502,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.123358,0.123,0.113999999999999,0.170999999999999,6.47959693357742e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,152470,107862,103,622342,386520196,0,0,22.548,32,0.05678,0.0569999999999999,0.051,0.087,4.51722889347991e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,65.228328,65.1455,61.892,71.092,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.782012,0.780000000000001,0.732000000000014,0.852,1.9894930115064e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,52590,48033,0,1732118,1413588186,0,0,37.716,48,0.245824,0.245000000000002,0.23,0.273,3.2345712762361e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,227.631268,227.6465,222.966,234.424,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,3.304352,3.3045,3.122,3.58500000000001,1.52696001322579e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.2,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,12400,12172,0,3713296,3953353167,0,0,58.58,77,0.810676,0.807999999999993,0.777999999999992,1.037,1.50495143025132e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,4.043678,4.01,3.808,4.651,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.033438,0.0330000000000004,0.0300000000000002,0.0629999999999997,2.27023479120935e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,209658,123329,2209,237262,162931227,0,0,18.678,24,0.02519,0.025,0.022,0.0440000000000005,4.4517060521514e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,11.645464,11.639,11.003,12.702,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.131004,0.131,0.122,0.157,3.37613323187415e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,132232,101781,16,532624,459773203,0,0,26.326,37,0.064548,0.0640000000000001,0.0589999999999993,0.078,2.64058998007645e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,66.891084,66.8385,63.834,72.24,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.829632,0.828000000000003,0.77600000000001,0.885,5.4821938895223e-10,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,33146,31647,0,1530488,1732577930,0,0,46.462,57,0.293512,0.293,0.278,0.322000000000003,1.57817920021669e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,236.065826,236.078,230.867,239.836,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,3.483134,3.479,3.28800000000001,3.74100000000001,5.42196399545655e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.5,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,5164,5130,0,3350421,5037997940,0,0,75.282,92,0.971674,0.97,0.939999999999998,1.03800000000001,2.85730351035208e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,4.02169,3.9855,3.734,4.647,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.031384,0.031,0.0279999999999996,0.05,1.49718679069508e-10,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,214546,116156,5740,282501,136050707,0,0,16.464,21,0.022918,0.023,0.02,0.027,1.83215123667885e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,11.463208,11.4305,10.933,12.626,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.12321,0.123000000000001,0.114000000000001,0.135,1.15487203544327e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,152416,108281,95,619382,388891696,0,0,22.524,29,0.056178,0.056,0.051,0.0620000000000012,2.30515853115256e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,65.097066,65.081,62.464,68.946,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.780192,0.779499999999999,0.737000000000009,0.832000000000008,1.55398844184294e-10,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,52202,47634,0,1732279,1412909440,0,0,37.722,51,0.244504,0.244,0.228999999999999,0.268000000000001,2.6395811993169e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,227.763226,227.7905,222.053,232.308,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,3.288128,3.281,3.116,3.52799999999999,6.12421232522514e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",1,3,0.8,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,12372,12186,0,3717930,3939376016,0,0,58.366,75,0.804424,0.802500000000009,0.774999999999977,0.989,3.02108233169987e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",2,4,0.2,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,3.995542,3.9795,3.776,4.655,0,TRUE,TRUE,TRUE,TRUE,TRUE
"tvcqr",2,4,0.2,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.03798,0.038,0.0350000000000001,0.042,2.8363734896516e-11,TRUE,TRUE,TRUE,TRUE,TRUE
